Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50354944;5,77314253;58,68224674;50354944 210100 - Virke Landsoverenskomsten
50327068;10,8144242;60,90932004;50327068 210100 - Virke Landsoverenskomsten
50350555;27,35253239;70,94548331;50350555 210100 - Virke Landsoverenskomsten
50346425;16,56626703;68,77943861;50346425 210100 - Virke Landsoverenskomsten
50341394;10,06067801;59,04434891;50341394 210100 - Virke Landsoverenskomsten
50341612;5,69110645;58,98399993;50341612 210100 - Virke Landsoverenskomsten
50346198;6,54529166;60,06900937;50346198 213100 - Virke Bok og Papiravtalen
60000712;29,75080863;70,07298775;60000712 213100 - Virke Bok og Papiravtalen
50341470;10,99305616;59,25156821;50341470 210100 - Virke Landsoverenskomsten
50308119;11,17419776;60,28111772;50308119 210100 - Virke Landsoverenskomsten
60005249;10,06289152;59,07786293;60005249 210100 - Virke Landsoverenskomsten
50349682;10,92193428;59,21803939;50349682 210100 - Virke Landsoverenskomsten
60005404;5,35304907;60,30757152;60005404 210100 - Virke Landsoverenskomsten
60003975;10,89598783;63,47575634;60003975 210100 - Virke Landsoverenskomsten
50343671;6,46164079;60,63366068;50343671 210100 - Virke Landsoverenskomsten
60007218;18,91624703;69,66755788;60007218 210100 - Virke Landsoverenskomsten
50343922;10,58804704;59,91636634;50343922 210100 - Virke Landsoverenskomsten
50301680;5,73535263;58,85263013;50301680 215100 - Virke Reiselivsbransjen
50308263;10,72094799;59,9400073;50308263 213100 - Virke Bok og Papiravtalen
50341071;10,39307972;63,42132948;50341071 213100 - Virke Bok og Papiravtalen
50340941;11,04402551;59,97644448;50340941 213100 - Virke Bok og Papiravtalen
60002528;10,22286975;59,13149002;60002528 215100 - Virke Reiselivsbransjen
50304934;16,58323513;68,78129417;50304934 210100 - Virke Landsoverenskomsten
50341958;10,80013936;59,85149678;50341958 210100 - Virke Landsoverenskomsten
50329003;23,68364816;70,6622945;50329003 213100 - Virke Bok og Papiravtalen
50325557;8,76671328;58,46011821;50325557 215100 - Virke Reiselivsbransjen
50302671;18,93024755;69,67605769;50302671 210100 - Virke Landsoverenskomsten
50347446;5,46632919;60,18914898;50347446 210100 - Virke Landsoverenskomsten
60005447;10,74058945;63,41933261;60005447 210200 - PU Virke Landsoverenskomsten
50307976;30,04451387;69,72646541;50307976 215100 - Virke Reiselivsbransjen
50350224;5,30788142;59,37792906;50350224 210100 - Virke Landsoverenskomsten
50325845;10,46456077;61,11678213;50325845 213100 - Virke Bok og Papiravtalen
60000184;10,93911039;59,21448936;60000184 210100 - Virke Landsoverenskomsten
50352889;5,12407613;60,35849587;50352889 210100 - Virke Landsoverenskomsten
50350825;10,83690474;59,71906372;50350825 210100 - Virke Landsoverenskomsten
60004778;5,73221758;58,97149454;60004778 210200 - PU Virke Landsoverenskomsten
60000909;5,72177217;58,87626535;60000909 210200 - PU Virke Landsoverenskomsten
50349277;10,22772107;61,22634477;50349277 210100 - Virke Landsoverenskomsten
50344174;5,3024177;60,42293831;50344174 213100 - Virke Bok og Papiravtalen
50326917;11,04567376;60,01349491;50326917 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50347525;11,00733283;59,94728603;50347525 210100 - Virke Landsoverenskomsten
60000512;11,04671992;60,79870127;60000512 210100 - Virke Landsoverenskomsten
50007394;11,71026434;64,08596442;50007394 210100 - Virke Landsoverenskomsten
50006705;14,13206104;66,30599198;50006705 215100 - Virke Reiselivsbransjen
50004617;5,73221602;58,97143569;50004617 210100 - Virke Landsoverenskomsten
50003397;8,71218104;62,96972852;50003397 210100 - Virke Landsoverenskomsten
50255998;17,98211566;69,22933474;50255998 210100 - Virke Landsoverenskomsten
50031554;5,04656833;61,60306057;50031554 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50010549;8,35299805;62,23309936;50010549 210100 - Virke Landsoverenskomsten
50011321;6,21430645;61,77896317;50011321 210100 - Virke Landsoverenskomsten
50320147;10,18125107;59,14032882;50320147 210100 - Virke Landsoverenskomsten
50319511;5,35422888;60,31746345;50319511 210100 - Virke Landsoverenskomsten
